schema_table,description
reg_land_and_natural_resource.wld_pncp_h_elev_car_win_rng_sp,"WLD PNCP H ELEV CAR WIN RNG SP represents High Elevation Winter Range (HEWR) for South Peace Northern Caribou. HEWR is based on resource-selection-function habitat modelling. Models used caribou telemetry locations to identify high elevation habitat areas that are heavily used by caribou. The HEWR is the basis for the Natural Resources Sector Board direction for management of northern caribou habitat. The designations are used by all levels of government in adjudicating land-use decisions. This is a polygon layer."
whse_fish.pscis_assessment_svw,"This view defines the most current assessment for a stream crossing location. An assessment provides the field survey data required to determine whether a stream crossing requires remediation efforts in order to make it passable to fish habitat."
whse_fish.pscis_design_proposal_svw,"This view defines the stream crossing locations in which design proposals have been received to remediate a stream crossing that is defined as not passable."
whse_fish.pscis_habitat_confirmation_svw,"PSCIS_HABITAT_CONFIRMATION_SVW represents Habitat Confirmation of Stream Crossings. The Habitat Confirmation is carried out by a biologist who does an office and field review of the fish habitat to be potentially gained by remediation of an identified failed road crossing."
whse_fish.pscis_remediation_svw,"This view defines all the stream crossing locations that have had remediation activities take place."
whse_mineral_tenure.ptsa_requested_parcels_svw,null
whse_cadastre.pmbc_parcel_fabric_poly_svw,"The ParcelMap BC (PMBC) parcel fabric contains all active titled parcels and surveyed provincial Crown land parcels in BC. For building strata parcels there is a record with PID value for each parcel within the strata parcel; the geometry for those records is the geometry for the overall strata. This dataset is polygonal and contains just the OGL-BC-licensed parcel attributes."
whse_cadastre.pmbc_parcel_fabric_poly_fa_svw,
whse_cadastre.pmbc_parcel_poly_sv,
whse_admin_boundaries.adm_bc_parks_regions_sp,"This layer contains Provincial Protected Areas Branch (BC Parks) Region administrative structure boundaries. Boundaries  were compiled existing provincial 1:20000 cadastral TRIM and watershed data and/or provincial Legal Surveys Division's cadastral datasets existing in the provincial land title registry systems. Large scale Integrated Cadastral (large scale) may have  been used in specific park data. This layer utilizes multi-part polygon geometry."
whse_admin_boundaries.adm_bc_parks_sections_sp,"This layer contains Sub Region management areas within the Provincial Parks and Protected Areas (BC Parks) Region boundaries structure.  Boundaries  were compiled existing provincial 1:20000 cadastral TRIM and watershed data and/or provincial Legal Surveys Division's cadastral datasets existing in the provincial land title registry systems. Large scale Integrated Cadastral (large scale) may have  been used in specific park data.  This layer utilizes multi-part polygon geometry."
reg_land_and_natural_resource.for_patch_amalg_units_car_sp,"Amalgamation units used in forest patch size assessments in the Cariboo Natural Resource Region."
whse_wildlife_management.crims_pelagic_birds_unspcfd,null
whse_wildlife_management.crims_pelagic_marine_ecounits,null
whse_mineral_tenure.hsp_mjr_mines_permttd_areas_sp,"The permitted mine spatial dataset represents areas where mining activity has been approved and a permit has been issued under the Mines Act.  The dataset represents \"major mines\" as described as per Part 10.1.2 of the Health Safety and Reclamation Code for Mines in British Columbia.  Please note that Permitted Mine Areas are not available for every mine site."
whse_forest_vegetation.pest_infest_current_point,null
whse_forest_vegetation.pest_infest_current_poly,null
whse_mineral_tenure.geol_seismic_lines_sp,null
whse_mineral_tenure.ptsa_petroleum_title_poly,"PETROLEUM TITLE POLY provides information on active petroleum natural gas and geothermal tenures in British Columbia.  Three major title types are used in British Columbia:permits carrying an obligation to conduct exploration; drilling l"
whse_mineral_tenure.ptsa_oil_gas_grid_block_sp,"The petroleum and natural gas grid is defined by a set of universal transverse mercator map projection coordinates for the northeast corner of each unit."
whse_mineral_tenure.ptsa_oil_gas_grid_mapgroup_sp,"The petroleum and natural gas grid is defined by a set of universal transverse mercator map projection coordinates for the northeast corner of each unit."
whse_mineral_tenure.ptsa_oil_gas_grid_mapsheet_sp,"The petroleum and natural gas grid is defined by a set of universal transverse mercator map projection coordinates for the northeast corner of each unit."
whse_mineral_tenure.ptsa_oil_gas_grid_unit_sp,"The Ministry now uses the OIL GAS GRID POLY to describe tenures for oil and gas coal and gas. The PNG grid uses the National Topographic System (NTS) series of maps published by Natural Resources Canada. It is based on latitude and longitude in North American Datum (NAD) 27. To produce the PNG grid each 1:50000 map-sheet was divided into a 10x10 grid with each cell called a unit. Geographically each unit is 30 seconds by 45 seconds. At the 49th parallel the cell measures about 84.7 hectares. Geometry: Polygonal multipart feature"
whse_imagery_and_base_maps.gsr_pharmacies_sv,"GSR_PHARMACIES_SV is a spatially enabled layer comprising locations of pharmacies"
whse_basemapping.gns_physiographic_areas_sp,"GNS PHYSIOGRAPHIC AREAS SP is a feature class representing large named physiographic features in the province e.g. mountains mountain ranges ridges plateaus hills and valleys."
whse_admin_boundaries.adm_police_jrsdctn_bndry_sp,"Geographical representation of RCMP and Municipal Police jurisdiction boundaries.  This uses polygon geometries"
whse_human_cultural_economic.cen_prof_cd_population_sv,"CEN_PROF_CD_POPULATION_SV is a spatial table providing at the census division (CD) level the CD spatial geometry and the distribution of the population by age groups and average age of the population."
whse_human_cultural_economic.cen_prof_csd_population_sv,"CEN_PROF_CSD_POPULATION_SV is a spatial table providing at the census subdivision (CSD) level the CSD spatial geometry and the distribution of the population by age groups and average age of the population."
whse_human_cultural_economic.cen_prof_car_detailed_age_sv,"Counts of population age as reported on the 2016 Canada Census short formV. tabulated at the Census Agriculture Region (CAR) level."
whse_human_cultural_economic.cen_prof_ccsd_detailed_age_sv,"Counts of population age as reported on the 2016 Canada Census short formV. tabulated at the Census Agriculture Region (CAR) level."
whse_human_cultural_economic.cen_prof_cd_detailed_age_sv,
reg_land_and_natural_resource.fish_predicted_spawning_car_sp,"FISH PREDICTED SPAWNING CAR SP represents 1:50000 habitat mapping for northern caribou in the Itcha and Ilgachuz Mtn. Areas circa 1986."
whse_admin_boundaries.bcha_prmry_care_ntwrk_cmtys_sp,
whse_admin_boundaries.bcha_prmry_care_ntwrks_sp,
whse_forest_vegetation.ogsr_priority_def_area_cur_sp,"The current view of the priority old growth deferrals.  Includes updates from licensee field verification submissions."
reg_land_and_natural_resource.productive_forest_car_poly,null
whse_parks.pa_prtctd_lnd_rstrctns_sv,"Protected Lands (Parks EcoReserve Conservation and Protected Area) Restriction and Closure Boundaries."
whse_parks.pa_prtctd_lnd_facilities_sp,null
whse_legal_admin_boundaries.abms_province_sp,"ABMS_PROVINCE_SP contains the legally defined Provincial administrative boundary area for the Province of British Columbia. This spatial layer contains one feature."
whse_admin_boundaries.ebc_voting_areas_bs10_poly_svw,"EBC_VOTING_AREAS_BS10_POLY_SVW contains information about provincial areal (polygonal) voting areas in British Columbia including non-spatial information and spatial information (boundary linework). Data is restricted to a single boundary set (10)."
whse_admin_boundaries.ebc_voting_areas_bs08_poly_svw,"EBC_VOTING_AREAS_BS08_POLY_SVW contains information about provincial areal (polygonal) voting areas in British Columbia including non-spatial information and spatial information (boundary linework). Data is restricted to a single boundary set (8)."
whse_admin_boundaries.ebc_voting_areas_bs09_poly_svw,
whse_admin_boundaries.ebc_electoral_dists_bs09_svw,
whse_admin_boundaries.ebc_electoral_dists_bs10_svw,"EBC_ELECTORAL_DISTRICTS BS10_SVW contains information about provincial electoral districts in British Columbia including non-spatial information (e.g. name abbreviation boundary set identifier) and spatial information (boundary linework). Data is restricted to a single boundary set (10)"
